Brand,Car Model,Price
Jaguar,XK 5.0L V8 Petrol Convertible,0
Jaguar,XK 5.0L V8 Petrol Coupe,"92,00,000"
Land Rover,Range Rover Supercharged V8 (Petrol),0
Land Rover,Range Rover TDV8 (Diesel),"94,00,000"
Skoda,Fabia 1.6 MPI Elegance,0
Skoda,Fabia 1.2 MPI Classic,"4,35,000"
Skoda,Fabia 1.2 MPI Ambiente Petrol,"4,85,000"
Skoda,Fabia 1.2L Diesel Classic,"5,40,000"
Skoda,Fabia 1.2 MPI Elegance,"5,68,000"
Skoda,Fabia 1.2L Diesel Ambiente,"5,91,000"
Skoda,Fabia 1.2L Diesel Elegance,"6,69,000"
Tata,Winger Deluxe - Flat Roof (AC),0
Tata,Winger Deluxe - Flat Roof (Non-AC),0
Tata,Winger Deluxe - Hi Roof (AC),0
Tata,Winger Deluxe - Hi Roof (Non-AC),0
Tata,Winger Luxury - Flat Roof (AC),0
Tata,Winger Standard -Flat Roof (Non-AC),0
Tata,Nano Std BSIII,"1,27,064"
Tata,Nano Std BS IV,"1,40,880"
Tata,Nano Cx BSIII,"1,52,812"
Tata,Nano Cx BSIV,"1,70,078"
Tata,Nano Lx BSIII,"1,77,531"
Tata,Nano Lx BSIV,"1,96,956"
Maruti,800 Std BSIII,"1,95,028"
Maruti,800 AC BSIII,"1,97,028"
Maruti,800 Std. LPG,"2,11,610"
Maruti,800 AC LPG,"2,33,784"
Maruti,Omni MPI CARGO BSIII W/ IMMOBILISER,"1,98,754"
Maruti,Omni LPG CARGO BSIII W/ IMMOBILISER,"2,04,522"
Maruti,Omni MPI CARGO BSIV,"2,09,290"
Maruti,Omni MPI STD BSIII 5-STR W/ IMMOBILISER,"2,17,202"
Maruti,Omni MPI STD BSIII 8-STR W/ IMMOBILISER,"2,18,863"
Maruti,Omni MPI STD BSIV,"2,27,736"
Maruti,Omni E MPI STD BSIV,"2,29,397"
Maruti,Omni LPG STD BSIII 5-STR W/ IMMOBILISER,"2,38,821"
Maruti,Omni MPI Ambulance BSIV,"2,62,552"
Maruti,Alto Std,"2,32,247"
Maruti,Alto LX,"2,63,619"
Maruti,Alto Green Std BSIV,"2,79,247"
Maruti,Alto LXi,"2,81,127"
Maruti,Alto K10 LXI,"3,04,192"
Maruti,Alto Green LX BSIV,"3,10,619"
Maruti,Alto K10 VXI,"3,17,192"
Maruti,Alto Green LXi (CNG),"3,28,126"
Hyundai,Santro Xing (Non-AC),"2,80,897"
Hyundai,Santro Xing GL,"3,48,025"
Audi,Hyundai Santro Xing AE GLS o,"3,68,683"
Hyundai,Santro Xing AE GLS Audio,"3,68,683"
Hyundai,Santro Xing GLS,"3,70,169"
Hyundai,Santro Xing GL LPG,"3,70,975"
Hyundai,Santro Xing GLS LPG,"3,91,568"
Audi,Hyundai Santro Xing GLS o LPG,"3,92,538"
Hyundai,Santro Xing GLS Audio LPG,"3,92,538"
Maruti,Eeco 5 Seater Standard,"2,82,397"
Maruti,Eeco 7 Seater Standard,"3,04,199"
Maruti,Eeco 5 Seater AC,"3,16,961"
Maruti,Eeco CNG HTR 5-STR,"3,44,398"
Maruti,Eeco Ambulance Petrol AC Plus HTR,"3,57,119"
Maruti,Eeco Flexi Green,"3,75,061"
Maruti,Eeco CNG 5 Seater AC,"3,79,962"
Tata,Indica V2 Xeta eGL BS IV,"2,95,568"
Tata,Indica V2 Xeta eGLE BS IV,"3,19,754"
Tata,Indica V2 Xeta eGLS BS IV,"3,34,821"
Tata,Indica V2 Xeta GLE LPG BS IV,"3,43,480"
Tata,Indica V2 Xeta GLS LPG BS IV,"3,56,938"
Tata,Indica V2 Xeta eGLX BS IV,"3,58,814"
Chevrolet,Spark 1.0 E,"3,05,958"
Chevrolet,Spark 1.0,"3,23,458"
Chevrolet,Spark 1.0 PS,"3,36,753"
Chevrolet,Spark 1.0 LS,"3,59,539"
Chevrolet,Spark 1.0 LT,"3,81,239"
Chevrolet,Spark 1.0 LT Option Pack w/ Airbag,"4,31,156"
Tata,Indica Xeta GLS BS IV,"3,19,972"
Maruti,Zen Estilo LX BS IV,"3,27,272"
Maruti,Zen Estilo LXI BS IV,"3,58,063"
Maruti,Zen Estilo VXI BS IV,"3,84,520"
Maruti,Zen Estilo LXI Green (CNG),"4,10,062"
Maruti,Zen Estilo VXI BS IV W/ ABS,"4,14,065"
Maruti,Wagon R LX BS IV,"3,35,550"
Maruti,Wagon R LXI BS IV,"3,65,110"
Maruti,Wagon R VXI BS IV,"3,90,048"
Maruti,Wagon R LXI DUO BS IV,"3,99,099"
Maruti,Wagon R LXI CNG,"4,18,110"
Maruti,Wagon R VXI BS IV with ABS,"4,20,795"
Fiat,Palio Stile 1.1 SL,"3,41,243"
Fiat,Palio Stile 1.1 SLE,"3,58,509"
Fiat,Palio Stile 1.1 SLX,"3,77,681"
Fiat,Palio Stile 1.6 Sport,"4,43,630"
Tata,Indica V2 DL BSIII,"3,47,732"
Tata,Indica V2 DLE BSIII,"3,82,816"
Tata,Indica V2 Turbomax DLE BS IV,"3,86,372"
Tata,Indica V2 eL,"4,00,570"
Tata,Indica V2 DLS BSIII,"4,04,508"
Tata,Indica V2 Turbomax DLS BS IV,"4,06,063"
Tata,Indica V2 eLE,"4,35,397"
Tata,Indica V2 eLS,"4,49,663"
Tata,Indica V2 eLX,"4,81,775"
Reva,i Standard,"3,49,705"
Reva,i A/C,"3,97,919"
Reva,i Classe,"4,28,419"
Hyundai,i10 D-lite,"3,54,972"
Hyundai,i10 Era,"3,88,515"
Hyundai,i10 Magna 1.1L,"4,03,029"
Hyundai,i10 Magna,"4,20,030"
Hyundai,i10 Sportz,"4,53,562"
Hyundai,i10 Sportz Option,"4,79,837"
Hyundai,i10 Sportz AT,"5,09,519"
Hyundai,i10 Asta,"5,27,258"
Hyundai,i10 Asta AT,"5,99,455"
Chevrolet,Beat PS,"3,59,044"
Chevrolet,Beat LS,"3,87,349"
Chevrolet,Beat LS LPG,"4,20,275"
Chevrolet,Beat Diesel PS,"4,29,490"
Chevrolet,Beat LT,"4,30,582"
Chevrolet,Beat Diesel LS,"4,59,990"
Chevrolet,Beat LT LPG,"4,63,508"
Chevrolet,Beat Option Pack,"4,78,562"
Chevrolet,Beat Diesel LT,"4,99,990"
Chevrolet,Beat Diesel,"5,45,990"
Maruti,A-Star Lxi,"3,59,838"
